Epoch,Accuracy,Accuracy Val
0,0.24891827,0.2555088
1,0.33529648,0.33583733
2,0.3851162,0.39002404
3,0.4140625,0.41396233
4,0.43964344,0.43679887
5,0.45785257,0.45482773
6,0.4790064,0.47365785
7,0.49258813,0.48727965
8,0.5064503,0.5005008
9,0.5195713,0.5129207
10,0.5330128,0.52584136
11,0.5472155,0.5364583
12,0.55338544,0.53866184
13,0.5586939,0.5427684
14,0.56229967,0.54497194
15,0.5661058,0.5490785
16,0.55815303,0.53816104
17,0.5709936,0.5519832
18,0.57976764,0.5576923
19,0.5856771,0.5583934
