Epoch,Accuracy,Accuracy Val
0,0.18846154,0.18790065
1,0.31346154,0.31570512
2,0.36750802,0.36708733
3,0.40208334,0.39583334
4,0.43709937,0.43729967
5,0.44597355,0.44511217
6,0.46678686,0.46153846
7,0.49096555,0.48066908
8,0.51742786,0.5104167
9,0.53509617,0.5202324
10,0.5478966,0.5350561
11,0.5577123,0.5435697
12,0.5691907,0.55649036
13,0.5800481,0.56119794
14,0.58960336,0.57071316
15,0.5992187,0.5802284
16,0.6040865,0.5843349
17,0.60947514,0.58984375
18,0.61658657,0.59615386
19,0.6172476,0.59194714
