Epoch,Accuracy,Accuracy Val
0,0.25434697,0.25400642
1,0.3360577,0.34354967
2,0.3640024,0.37129408
3,0.38621795,0.38621795
4,0.40210336,0.40364584
5,0.42534053,0.42748398
6,0.44010416,0.43920273
7,0.4558093,0.4526242
8,0.47534055,0.46945113
9,0.4918069,0.48397437
10,0.5098758,0.50020033
11,0.5258814,0.51221955
12,0.5280449,0.51272035
13,0.54825723,0.5333534
14,0.55885416,0.54407054
15,0.5696314,0.54877806
16,0.57800484,0.56019634
17,0.5848157,0.5682091
18,0.58790064,0.5754207
19,0.5948117,0.5788261
