Epoch,Accuracy,Accuracy Val
0,0.24222757,0.23627804
1,0.3336338,0.33473557
2,0.39889824,0.40194312
3,0.42173478,0.42257613
4,0.44246796,0.4448117
5,0.46278045,0.4629407
6,0.48591748,0.48327324
7,0.50685096,0.50540864
8,0.5205128,0.5217348
9,0.5340946,0.5300481
10,0.55190307,0.5463742
11,0.5611579,0.55228364
12,0.5707532,0.5612981
13,0.5752804,0.56490386
14,0.58579725,0.5759215
15,0.59865785,0.5843349
16,0.6129006,0.5964543
17,0.6178486,0.59975964
18,0.62439907,0.60066104
19,0.6304287,0.6071715
