accuracy,loss,val_accuracy,val_loss
0.33343347907066345,1.8285475969314575,0.43309295177459717,1.5694289207458496
0.47836539149284363,1.4436181783676147,0.49599358439445496,1.3704038858413696
0.5349559187889099,1.3067264556884766,0.5588942170143127,1.2396924495697021
0.5733974575996399,1.2084147930145264,0.5906450152397156,1.1576321125030518
0.6038461327552795,1.1330138444900513,0.6068710088729858,1.12257719039917
0.6249198913574219,1.0752654075622559,0.6211938858032227,1.0915440320968628
0.6419671177864075,1.0280095338821411,0.6379206776618958,1.047803521156311
0.6554887890815735,0.9895434379577637,0.6413261294364929,1.034833312034607
0.6693509817123413,0.9541617631912231,0.6474359035491943,1.0044989585876465
0.6832131147384644,0.9159225821495056,0.6548477411270142,0.9812649488449097
0.6964944005012512,0.8825343251228333,0.6652644276618958,0.959300696849823
0.7068910002708435,0.8528130054473877,0.6720753312110901,0.943465530872345
0.7165865302085876,0.8251648545265198,0.6824919581413269,0.9203947186470032
0.7269431352615356,0.7969685792922974,0.6851963400840759,0.918519139289856
0.7352163195610046,0.7717780470848083,0.6858974099159241,0.9147825241088867
0.7430689334869385,0.7489883303642273,0.6896033883094788,0.9181431531906128
0.7484375238418579,0.7279675006866455,0.6869992017745972,0.9316001534461975
0.7538261413574219,0.7108995318412781,0.6889022588729858,0.9448538422584534
0.7596755027770996,0.6945497989654541,0.6903044581413269,0.9382548928260803
0.7668870091438293,0.6711520552635193,0.694411039352417,0.9273800849914551
