70,0.39443108,0.375
70,0.39202723,0.3780242
70,0.39383012,0.37903225
70,0.39302886,0.37701613
70,0.39222756,0.37600806
75,0.40685096,0.3860887
75,0.40604967,0.39012095
75,0.40785256,0.39112905
75,0.40584937,0.39112905
75,0.4052484,0.38709676
80,0.40224358,0.37600806
80,0.40364584,0.38004032
80,0.40384614,0.37399194
80,0.40144232,0.37903225
80,0.4034455,0.37399194
85,0.41346154,0.3891129
85,0.41346154,0.3951613
85,0.4150641,0.38810483
85,0.4148638,0.39012095
85,0.41266027,0.3951613
