accuracy,accuracy_val,time
0.6324,0.432,2460.828127145767
0.6318,0.433,2438.9478011131287
0.6352,0.432,2441.9642293453217
0.64,0.437,2437.000743627548
0.6428,0.428,2439.1384794712067
0.6396,0.42,2434.307577610016
0.642,0.43,2433.06724524498
0.6378,0.427,2432.9811782836914
0.6348,0.422,2437.4639489650726
0.6356,0.424,2433.30233001709
