accuracy,accuracy_val,time
0.4656,0.407,4297.638092756271
0.4628,0.41,4287.458315610886
0.4646,0.408,4273.718214035034
0.4496,0.405,4255.9256772994995
0.4418,0.393,4294.621008872986
0.4366,0.388,4191.372364759445
0.4324,0.379,4205.89302611351
0.4254,0.377,4279.894219875336
0.4156,0.374,4318.1736352443695
0.4068,0.355,4238.3355214595795
