epoch,accuracy,val_accuracy
45,0.2942,0.269
50,0.3162,0.297
55,0.2984,0.291
60,0.3082,0.3
65,0.3,0.292
70,0.3124,0.296
75,0.319,0.311
80,0.334,0.32
85,0.3306,0.313
