epoch,accuracy,val_accuracy
45,0.188,0.2
50,0.218,0.204
55,0.2126,0.228
60,0.2102,0.206
65,0.2248,0.247
70,0.227,0.24
75,0.216,0.226
80,0.2246,0.23
85,0.2154,0.218
