45,0.36177886,0.35584676
45,0.36177886,0.35987905
45,0.3603766,0.34778225
45,0.36338142,0.35887095
45,0.36157852,0.35987905
50,0.3671875,0.35584676
50,0.369992,0.3578629
50,0.36258012,0.35383064
50,0.36658654,0.35887095
50,0.37199518,0.35987905
55,0.369992,0.3548387
55,0.36838943,0.3548387
55,0.36177886,0.3578629
55,0.36698717,0.35080644
55,0.37199518,0.35685483
60,0.369992,0.3548387
60,0.3739984,0.35080644
60,0.37119392,0.3548387
60,0.3770032,0.35383064
60,0.3731971,0.3467742
65,0.37379807,0.3548387
65,0.37059295,0.35685483
65,0.369992,0.34979838
65,0.37119392,0.34979838
65,0.36758813,0.35987905
70,0.3679888,0.34778225
70,0.37019232,0.35282257
70,0.36678687,0.3518145
70,0.36758813,0.34375
70,0.3671875,0.34274194
75,0.38161057,0.3548387
75,0.3836138,0.3518145
75,0.37740386,0.36592743
75,0.37860578,0.3578629
75,0.380008,0.35987905
80,0.3731971,0.3669355
80,0.3721955,0.35987905
80,0.375,0.3518145
80,0.37259614,0.36794356
80,0.37279648,0.3608871
85,0.38060898,0.3578629
85,0.37459937,0.36491936
85,0.37740386,0.36491936
85,0.37980768,0.35887095
85,0.37740386,0.35584676
