epoch,accuracy,val_accuracy
45,0.36258012,0.34375
46,0.3691907,0.3639113
47,0.3661859,0.35080644
48,0.36458334,0.3407258
49,0.37239584,0.34475806
50,0.37019232,0.35282257
51,0.36698717,0.35887095
52,0.37640223,0.34979838
53,0.34435096,0.3326613
54,0.3691907,0.35080644
55,0.36398238,0.35282257
56,0.37039262,0.35685483
57,0.37359777,0.35887095
58,0.37379807,0.35383064
59,0.3758013,0.35584676
60,0.37259614,0.34375
61,0.37459937,0.35383064
62,0.37459937,0.36592743
63,0.3758013,0.3608871
64,0.37740386,0.35987905
65,0.37379807,0.3467742
66,0.37339744,0.34879032
67,0.37560096,0.35584676
68,0.37099358,0.34879032
69,0.36458334,0.3356855
70,0.36778846,0.34576613
71,0.37620193,0.35383064
72,0.37479967,0.35685483
73,0.37119392,0.34778225
74,0.37199518,0.3518145
75,0.3778045,0.37096775
76,0.37740386,0.37399194
77,0.36398238,0.35584676
78,0.3778045,0.36794356
79,0.37720352,0.3578629
80,0.37820512,0.35584676
81,0.37900642,0.36592743
82,0.37820512,0.3548387
83,0.37760416,0.35987905
84,0.3760016,0.35282257
85,0.3828125,0.3639113
