,accuracy,loss,val_accuracy,val_loss
0,0.032260000705718994,0.009854337200522423,0.05770000070333481,0.00975605845451355
1,0.0737600028514862,0.00970738846808672,0.08489999920129776,0.009661901742219925
2,0.09956000000238419,0.009608831256628036,0.1023000031709671,0.009592301212251186
3,0.11705999821424484,0.009520412422716618,0.1111999973654747,0.009530763141810894
4,0.1332399994134903,0.009430230595171452,0.12370000034570694,0.00947236455976963
5,0.1462000012397766,0.009342722594738007,0.13369999825954437,0.009408322162926197
6,0.15620000660419464,0.009268710389733315,0.1412999927997589,0.009360359981656075
7,0.16548000276088715,0.009202652610838413,0.14949999749660492,0.00932400394231081
8,0.17455999553203583,0.009143556468188763,0.15299999713897705,0.009298759512603283
9,0.18177999556064606,0.009089275263249874,0.15950000286102295,0.009275037795305252
10,0.18863999843597412,0.009037239477038383,0.1639000028371811,0.009254063479602337
11,0.19548000395298004,0.00898711010813713,0.16680000722408295,0.009234096854925156
12,0.2019599974155426,0.00893765315413475,0.17090000212192535,0.00921369157731533
13,0.20851999521255493,0.008890778757631779,0.1736000031232834,0.009199848398566246
14,0.2145400047302246,0.008846172131597996,0.17509999871253967,0.00919084157794714
