accuracy,accuracy_val,time
0.45,0.407,0
0.4626,0.412,2478.8191270828247
0.4518,0.402,2472.8362634181976
0.4392,0.394,2467.7823419570923
0.4248,0.378,2470.4627923965454
0.4066,0.361,2468.9018239974976
0.3854,0.343,2469.595468521118
0.361,0.327,2473.277310371399
