Epoch,Accuracy,Accuracy_val
45,0.22253121,0.21384215
45,0.12457987,0.118489586
46,0.11181578,0.10476763
47,0.110195264,0.10777243
48,0.14408611,0.1401242
49,0.10731434,0.106069714
50,0.13482314,0.13090946
51,0.1253001,0.121995196
52,0.12960148,0.12940705
53,0.12461988,0.12339743
54,0.09899168,0.1000601
55,0.10765445,0.10576923
56,0.12942141,0.12590145
57,0.12283931,0.12149439
58,0.16335227,0.15885417
59,0.110575385,0.10777243
60,0.12455986,0.122896634
61,0.1331226,0.13010818
62,0.13910452,0.13832131
63,0.1318622,0.13171074
64,0.13920455,0.13721955
65,0.16361235,0.16165866
66,0.12049856,0.11678686
67,0.12069862,0.11748798
68,0.121598914,0.122095354
69,0.13866438,0.13651843
70,0.11049536,0.10657051
71,0.13752401,0.13341346
72,0.15799056,0.15544872
73,0.1099952,0.107171476
74,0.14524648,0.13942307
75,0.14378601,0.143129
76,0.117277525,0.11638622
77,0.1478073,0.14563301
78,0.107894525,0.10516827
79,0.13732395,0.13491586
80,0.112776086,0.109575324
81,0.1446863,0.14022435
82,0.12764084,0.12229567
83,0.14056498,0.13782051
84,0.14142525,0.14192708
85,0.12033851,0.1171875
86,0.119158134,0.11688702
87,0.10981514,0.110276446
88,0.13540334,0.13271233
89,0.12536012,0.12389824
