Epoch,Accuracy,Accuracy_val
45,0.25854275,0.25170273
45,0.12664053,0.122395836
46,0.12115877,0.111979164
47,0.13508323,0.13311298
48,0.11471671,0.11177885
49,0.08390685,0.08283253
50,0.068762004,0.06991186
51,0.11157571,0.110677086
52,0.11017526,0.109575324
53,0.115076825,0.11328125
54,0.13488317,0.13451523
55,0.12900127,0.12710336
56,0.13090189,0.13141026
57,0.124459825,0.123697914
58,0.12894127,0.1293069
59,0.13174216,0.1298077
60,0.079085305,0.07882612
61,0.119958386,0.11598558
62,0.11135563,0.109575324
63,0.11739757,0.115384616
64,0.134403,0.13311298
65,0.1481274,0.14883815
66,0.14680699,0.14222756
67,0.14824744,0.14342949
68,0.12608035,0.1255008
69,0.13876441,0.13992389
70,0.06231994,0.06290064
71,0.11037532,0.110777244
72,0.113296255,0.110777244
73,0.11189581,0.110276446
74,0.10925496,0.10737179
75,0.13776408,0.13371395
76,0.077164695,0.07882612
77,0.060419336,0.058092948
78,0.12978153,0.12870593
79,0.14674696,0.14192708
80,0.109375,0.107572116
81,0.119818345,0.11798878
82,0.12183899,0.11478365
83,0.13828425,0.13391426
84,0.12003841,0.11558493
85,0.122859314,0.12139423
86,0.10519366,0.10316507
87,0.06894206,0.06830929
88,0.059158932,0.059495192
89,0.09539053,0.09375
