Epoch,Accuracy,Accuracy_val
45,0.24201745,0.236879
45,0.12223911,0.11788862
46,0.122539215,0.12139423
47,0.12610035,0.12379808
48,0.13790412,0.13401443
49,0.14482634,0.14182693
50,0.13322262,0.13100961
51,0.1446663,0.14252804
52,0.15096831,0.15214343
53,0.13336268,0.1298077
54,0.14058499,0.13741986
55,0.12944143,0.1285056
56,0.09050896,0.090444714
57,0.08814821,0.0864383
58,0.10323303,0.10046074
59,0.074303776,0.073217146
60,0.11347631,0.1088742
61,0.12213908,0.120492786
62,0.12776089,0.1234976
63,0.09180938,0.09264824
64,0.12642045,0.12389824
65,0.109635085,0.10867388
66,0.1262404,0.12580128
67,0.0909291,0.09014423
68,0.115036815,0.114182696
69,0.12307938,0.12109375
70,0.104333386,0.10316507
71,0.12850112,0.12389824
72,0.052516807,0.052784454
73,0.06266005,0.06280048
74,0.13786411,0.1371194
75,0.08012564,0.076822914
76,0.10797455,0.10697115
77,0.117417574,0.11328125
78,0.12119878,0.11798878
79,0.12858115,0.127504
80,0.09134923,0.09024439
81,0.13570343,0.13271233
82,0.13028169,0.1285056
83,0.13384283,0.13040866
84,0.10135243,0.09795673
85,0.12864116,0.12590145
86,0.13826424,0.1338141
87,0.13480313,0.13561699
88,0.12409971,0.12119391
89,0.12880121,0.12870593
