Epoch,Accuracy,Accuracy_val
45,0.24955986,0.2396835
45,0.12544014,0.122095354
46,0.09054898,0.08984375
47,0.1590909,0.15645032
48,0.15536971,0.15464744
49,0.13674375,0.13311298
50,0.102832906,0.103365384
51,0.12391965,0.122395836
52,0.15086828,0.15054086
53,0.114756726,0.115885414
54,0.13550337,0.13100961
55,0.14630681,0.14232773
56,0.15671015,0.15204327
57,0.093109794,0.093149036
58,0.103393085,0.1030649
59,0.13896447,0.138121
60,0.10621399,0.103265226
61,0.12419974,0.119791664
62,0.11949824,0.11638622
63,0.11009523,0.11017628
64,0.11325624,0.10777243
65,0.11911812,0.11919071
66,0.16233195,0.16095753
67,0.11663733,0.114182696
68,0.14516646,0.14092548
69,0.121358834,0.116987176
70,0.120518565,0.117387824
71,0.12443982,0.122395836
72,0.11157571,0.10897436
73,0.13416293,0.13201122
74,0.122539215,0.12069311
75,0.1331426,0.1293069
76,0.14612676,0.14262821
77,0.14676696,0.14443108
78,0.14676696,0.14583333
79,0.1121959,0.10867388
80,0.096170776,0.094751604
81,0.1231194,0.12179487
82,0.14836748,0.14433093
83,0.12045854,0.1171875
84,0.12984155,0.12419872
85,0.13414292,0.13271233
86,0.13444301,0.13721955
87,0.15444942,0.15304486
88,0.1262404,0.12630208
89,0.15410931,0.15284455
