epoch,accuracy,accuracy_val,time
44,0.341,0.342,331.44863510131836
45,0.3542,0.345,740.7309110164642
46,0.3738,0.36,739.3189926147461
47,0.3698,0.355,738.5179314613342
48,0.367,0.358,739.0762567520142
49,0.3594,0.347,741.9066255092621
50,0.3692,0.353,738.5801947116852
51,0.372,0.349,741.9071803092957
52,0.382,0.36,739.3371393680573
53,0.3846,0.354,739.1916797161102
54,0.382,0.348,740.5361812114716
55,0.3668,0.35,741.9071371555328
56,0.382,0.345,739.1173872947693
57,0.3654,0.348,738.7836952209473
58,0.3916,0.361,739.860337972641
59,0.3834,0.361,748.1393506526947
60,0.3898,0.363,751.202868938446
61,0.3888,0.365,740.029878616333
62,0.388,0.367,739.4779217243195
63,0.3916,0.365,736.6176915168762
64,0.3958,0.377,738.3229229450226
65,0.3906,0.369,738.2353594303131
66,0.3762,0.361,740.3269186019897
67,0.403,0.374,737.7932035923004
68,0.3934,0.361,737.8028416633606
69,0.3962,0.374,740.7979483604431
70,0.394,0.371,738.3741898536682
71,0.3908,0.359,737.6631321907043
72,0.3972,0.368,737.6748738288879
73,0.3934,0.364,741.9063324928284
74,0.3882,0.358,736.7033030986786
75,0.3884,0.367,739.4549634456635
76,0.3878,0.37,739.7548224925995
77,0.4008,0.369,738.6995267868042
78,0.4056,0.383,739.6027781963348
79,0.4014,0.371,737.9593749046326
80,0.404,0.374,737.478963136673
81,0.4022,0.373,737.2423493862152
82,0.4058,0.379,741.9064748287201
83,0.4094,0.385,736.6661739349365
84,0.408,0.38,736.4885268211365
85,0.4048,0.388,738.2461678981781
86,0.407,0.388,738.4268615245819
87,0.4108,0.382,741.906571149826
88,0.4094,0.373,738.9018611907959
89,0.4136,0.379,738.470240354538
