,accuracy,loss,val_accuracy,val_loss,time
175,0.31543999910354614,0.010210730135440826,0.2547000050544739,0.017365220934152603,1.6312243938446045
176,0.3156599998474121,0.010200620628893375,0.25600001215934753,0.017352934926748276,1.6196343898773193
177,0.31591999530792236,0.010187831707298756,0.2563999891281128,0.017452726140618324,1.605381965637207
178,0.316540002822876,0.010174411348998547,0.25589999556541443,0.017522776499390602,1.6182119846343994
179,0.3167800009250641,0.010162829421460629,0.2563999891281128,0.017623644322156906,1.5806171894073486
180,0.31696000695228577,0.010150741785764694,0.25459998846054077,0.01764760911464691,1.6007640361785889
181,0.31727999448776245,0.01014016941189766,0.25519999861717224,0.017697032541036606,1.6540415287017822
182,0.3178200125694275,0.010127829387784004,0.2558000087738037,0.01778296008706093,1.6511926651000977
183,0.3181599974632263,0.01011772733181715,0.2549000084400177,0.017828788608312607,1.609783411026001
184,0.31817999482154846,0.010112646035850048,0.2540999948978424,0.017792094498872757,1.5833353996276855
185,0.3184800148010254,0.010110167786478996,0.25450000166893005,0.01774611882865429,1.5934557914733887
186,0.31723999977111816,0.010127098299562931,0.2572999894618988,0.017724165692925453,1.6440463066101074
187,0.3169200122356415,0.010140673257410526,0.2567000091075897,0.01774226874113083,1.6074237823486328
188,0.31812000274658203,0.010122589766979218,0.2563000023365021,0.017847301438450813,1.600191593170166
189,0.31836000084877014,0.010103346779942513,0.2565000057220459,0.01783091016113758,1.580735445022583
190,0.31977999210357666,0.010079601779580116,0.2567000091075897,0.017949098721146584,1.5986855030059814
191,0.32010000944137573,0.010063203051686287,0.25679999589920044,0.01802801713347435,1.593407392501831
192,0.3206000030040741,0.010047354735434055,0.25679999589920044,0.018095947802066803,1.5380885601043701
193,0.3211199939250946,0.010030808858573437,0.2563000023365021,0.018155887722969055,1.5931966304779053
194,0.32142001390457153,0.010015256702899933,0.257099986076355,0.018262643367052078,1.5934524536132812
195,0.3218199908733368,0.010001345537602901,0.2563000023365021,0.01834988221526146,1.6341989040374756
196,0.3228999972343445,0.00998864695429802,0.2565000057220459,0.018408235162496567,1.546290397644043
197,0.32308000326156616,0.009977943263947964,0.25589999556541443,0.018507588654756546,1.5928189754486084
198,0.3235599994659424,0.009967214427888393,0.2556000053882599,0.018541593104600906,1.5738551616668701
199,0.32429999113082886,0.00995710026472807,0.25589999556541443,0.018609963357448578,1.5737180709838867
200,0.3242799937725067,0.009946662932634354,0.2556999921798706,0.018694860860705376,1.5512475967407227
201,0.3239000141620636,0.009942327626049519,0.2547000050544739,0.01871844008564949,1.5791656970977783
202,0.32429999113082886,0.009935705922544003,0.25369998812675476,0.01880774460732937,1.5830762386322021
203,0.32513999938964844,0.009926967322826385,0.2533000111579895,0.018870597705245018,1.5839269161224365
204,0.32548001408576965,0.009917331859469414,0.25369998812675476,0.01892329379916191,1.5874762535095215
205,0.32594001293182373,0.00990881398320198,0.25220000743865967,0.01894858479499817,1.591796636581421
206,0.3264400064945221,0.009899093769490719,0.2522999942302704,0.0190126970410347,1.6313598155975342
207,0.32666000723838806,0.009888711385428905,0.25270000100135803,0.01908484473824501,1.6079134941101074
208,0.32725998759269714,0.00987837091088295,0.25209999084472656,0.019179902970790863,1.6431598663330078
209,0.32767999172210693,0.009870639070868492,0.25290000438690186,0.019208891317248344,1.5963523387908936
210,0.32784000039100647,0.009863605722784996,0.2524999976158142,0.01926405355334282,1.5849804878234863
211,0.3280400037765503,0.009858828037977219,0.2531000077724457,0.019271492958068848,1.5689423084259033
212,0.32697999477386475,0.009867057204246521,0.25290000438690186,0.019241904839873314,1.556023359298706
213,0.32613998651504517,0.009920588694512844,0.25290000438690186,0.0191513579338789,1.5728983879089355
214,0.32690000534057617,0.00990744587033987,0.24729999899864197,0.019317584112286568,1.5861012935638428
215,0.3277199864387512,0.009894737042486668,0.250900000333786,0.019194360822439194,1.5771369934082031
216,0.3280999958515167,0.009869568049907684,0.25209999084472656,0.01922060176730156,1.5725717544555664
217,0.329120010137558,0.00984817836433649,0.25369998812675476,0.019291406497359276,1.4773576259613037
218,0.3300600051879883,0.00983227975666523,0.25220000743865967,0.01934652589261532,1.5010998249053955
219,0.33013999462127686,0.009815530851483345,0.2542000114917755,0.019365426152944565,1.446777582168579
220,0.3305799961090088,0.009799626655876637,0.25290000438690186,0.01947193592786789,1.4968774318695068
221,0.33142000436782837,0.009784895926713943,0.2538999915122986,0.01951291225850582,1.4860572814941406
222,0.3323799967765808,0.009770817123353481,0.2531000077724457,0.019593561068177223,1.4859957695007324
223,0.33254000544548035,0.009758117608726025,0.25429999828338623,0.019665470346808434,1.4512999057769775
224,0.33254000544548035,0.009748219512403011,0.2556000053882599,0.019742684438824654,1.4689059257507324
225,0.3331800103187561,0.009738395921885967,0.2547000050544739,0.019811388105154037,1.4958736896514893
226,0.33390000462532043,0.009729225188493729,0.25459998846054077,0.019839724525809288,1.4707310199737549
227,0.33452001214027405,0.009722552262246609,0.2542000114917755,0.019873464480042458,1.4774763584136963
228,0.33483999967575073,0.009713943116366863,0.25360000133514404,0.01992029882967472,1.4988858699798584
229,0.3351399898529053,0.009709957055747509,0.25429999828338623,0.019934603944420815,1.498368263244629
230,0.3355199992656708,0.009701985865831375,0.2533999979496002,0.02000449225306511,1.5644116401672363
231,0.33612000942230225,0.00968971848487854,0.25380000472068787,0.020052295178174973,1.56776762008667
232,0.33636000752449036,0.009678401984274387,0.2533999979496002,0.020167145878076553,1.5355653762817383
233,0.33682000637054443,0.009671995416283607,0.25429999828338623,0.020315229892730713,1.587510585784912
234,0.3372800052165985,0.009664542973041534,0.25369998812675476,0.020376717671751976,1.6102800369262695
235,0.33754000067710876,0.009656368754804134,0.2538999915122986,0.020529236644506454,1.609604835510254
236,0.33785998821258545,0.009648669511079788,0.25450000166893005,0.0205539520829916,1.5128695964813232
237,0.3378399908542633,0.009644811041653156,0.25529998540878296,0.02062160335481167,1.5168027877807617
238,0.33730000257492065,0.009654181078076363,0.25429999828338623,0.020557884126901627,1.5292954444885254
239,0.33476001024246216,0.009715673513710499,0.24619999527931213,0.02068793959915638,1.5463409423828125
240,0.3355799913406372,0.009706671349704266,0.249099999666214,0.020625654608011246,1.5724666118621826
241,0.3359000086784363,0.00969105027616024,0.2502000033855438,0.020670682191848755,1.6068191528320312
